Artifact Image Tag,Diff URL,Commit Fix Date,Total Runs,LLM,LLM Knowledge Cutoff Date,Methodology,Detection Rate - Diff,Detection Rate - Trace,Bug Report Example
tananaev-traccar-64783123,https://github.com/traccar/traccar/compare/6883ecf8462e26f63d2709426c2cacf5dd318c49...670acf03fb75e56fc0efc0c1fcfac04060bfb985,2015-05-31,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,1.0,0.4,File: CastelProtocolDecoderTest.java Line: 17
tananaev-traccar-192220170,https://github.com/traccar/traccar/compare/0885b4c200600ff320af9a77eacda5fc4d63c795...7b43de6883d317c57e4cb0f0be6caf0b23297189,2017-01-15,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.2,0.6,File: ProtocolTest.java Line: 181
tananaev-traccar-255051211,https://github.com/traccar/traccar/compare/df53571ab09afb15888462dbbed2c3d58759c55a...aa921d5acca68b92f0200183eb1c4a786a5f4882,2017-07-18,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.0,1.0,File: CguardProtocolDecoder.java Line: 75
fayder-restcountries-152161309,https://github.com/apilayer/restcountries/compare/63f8cf8318b117ea781edbbb407288d4e6e72bd7...cf854c040bc45ba91331f1324e6610b9a1b97690,2016-08-14,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,1.0,1.0,File: Country.java Line: 45
winder-Universal-G-Code-Sender-243265926,https://github.com/winder/Universal-G-Code-Sender/compare/e633c9d5fd3878f8c17a5d5347fef0be18335cff...7dd3ce4d1a027202fdc10a7d4e5ad8e60d881704,2017-06-20,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.2,0.0,File: GrblController.java Line: 249
winder-Universal-G-Code-Sender-172454077,https://github.com/winder/Universal-G-Code-Sender/compare/4e1da3358c70f391001f484630ae4f4cc89cc7dd...4f429a723a7a2f30a84d38ce6e04062f7f673304,2016-11-01,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.0,0.0,File: GrblController.java Line: 3
GoClipse-goclipse-126655137,https://github.com/GoClipse/goclipse/compare/d3272165138be4e581379e84f0e0c0f293eb9c47...1b15b05debe5dfee58e616a719c319a86c206e1d,2016-04-29,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,1.0,0.0,File: BuildTargetOperation.java Line: 58
puniverse-quasar-111273215,https://github.com/puniverse/quasar/compare/269d73a67a572a4ef0656847ee908a05b055a0f1...0057c2869fd1c602bd2febd634850f3ab206e164,2016-02-23,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.6,1.0,File: SuspendableUtils.java Line: 36
raphw-byte-buddy-123642637,https://github.com/raphw/byte-buddy/compare/b0afd033b09c283413a62bd1508b6154b811c098...3cfd24aad37eeb7385019f30a1c37f6419faf5f4,2016-04-17,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.0,0.0,File: Advice.java Line: 6
stagemonitor-stagemonitor-114302339,https://github.com/stagemonitor/stagemonitor/compare/70b5ba10035751b02beec62be4ed9781b02ece56...fc531066ef49ee7a5231dad9ae8b4d37608fc72b,2016-03-07,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,1.0,0.6,File: RequestMonitor.java Line: 175
stagemonitor-stagemonitor-126992617,https://github.com/stagemonitor/stagemonitor/compare/81002967a2d4f16fd1538bef0b52bbb21eb67ccd...4ab3fb3eb4060b564f2b6f696a036c4b4df97890,2016-05-02,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.8,0.0,File: AgentAttacher.java Line: 91
stagemonitor-stagemonitor-131427161,https://github.com/stagemonitor/stagemonitor/compare/40d393a6d7e576f655ea3e96d7f95110a70c30b8...44afd8ca312da182726cb6c051747e621961ed28,2016-05-19,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.0,0.0,File: ConnectionMonitoringTransformerTest.java Line: 160
SpigotMC-BungeeCord-130330788,https://github.com/SpigotMC/BungeeCord/compare/d9a8311b8e40a0d390a993e409933f8ee737c12e...2df29701edc984c97c6e860aa0ad8e47654fd6d4,2016-05-15,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,1.0,1.0,File: ThrottleTest.java Line: 22
raphw-byte-buddy-148830166,https://github.com/raphw/byte-buddy/compare/1eb66ae797442f7b12d098162c5d27f972e02b9c...2e7db6bd7dfb19318e6613bea7a42bdbd80ddd81,2016-08-01,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,1.0,0.0,File: TransformerForFieldTest.java Line: 82
raphw-byte-buddy-140517158,https://github.com/raphw/byte-buddy/compare/95aa155a555326e6a93d12bd9fa0bc41cbe5ece4...0429d543594d94beef328b59b3facffa0b2864f1,2016-06-27,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.0,0.0,File: ClassReloadingStrategy.java Line: 6
raphw-byte-buddy-148275735,https://github.com/raphw/byte-buddy/compare/cbc9ca1bafbb379a18c48564a3de5e6dd2d6097e...a80c196301c1e1160181c6fdb867f6f8162af61d,2016-07-29,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.6,0.0,File: MethodAttributeAppenderForInstrumentedMethodTest.java Line: 3
raphw-byte-buddy-95795968,https://github.com/raphw/byte-buddy/compare/5a2cc59b4bc18b778047c0b3775953155491cecc...61eb2bc5248803e2f1efa24cf5589a41ba435a14,2015-12-09,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.0,0.0,File: ClassFileLocator.java Line: 3
ImmobilienScout24-deadcode4j-131735009,https://github.com/ImmobilienScout24/deadcode4j/compare/5d32dbef57eb4c7534f45c2c3027d1c0a9a80ddd...cc3738ddb73424aef775cd9401714cb77b3bb957,2016-05-20,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,1.0,0.6,File: AnAnalyzer.java Line: 56
charite-jannovar-249719464,https://github.com/charite/jannovar/compare/7c7a0eaebae8869cec73e070b09cefcad9973fe6...1fd3cbfc428732b97c5c35ffe09434502e3a99be,2017-07-03,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,1.0,0.4,File: DBAnnotationOptions.java Line: 41
openmicroscopy-bioformats-251797108,https://github.com/ome/bioformats/compare/d6618dca5e8e1bb4c521b91ed985da04899646e5...c27be7238bf53e0b6444be2e070207e5ff2e50af,2017-07-12,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.2,0.0,File: ImagePlusReader.java Line: 3
junkdog-artemis-odb-71816517,https://github.com/junkdog/artemis-odb/compare/83be5c8d1c0378389598628178bdb15dedac9c1e...66bd0f1a1a0a202a2291f5de8c9e4f25f1c7789a,2015-07-20,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,1.0,0.8,File: EntityEditPool.java Line: 67
junkdog-artemis-odb-74488108,https://github.com/junkdog/artemis-odb/compare/f8d8dac4ce723923dbdd67e47b72916512faf470...f88bffe153eb890856e004bc4d579f5ddba6e3b7,2015-08-06,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.6,1.0,File: EntitySerializer.java Line: 113
yamcs-yamcs-166980116,https://github.com/yamcs/yamcs/compare/5626627ed88f9be59b5de5ae3dc077ea79f3a721...ce974a3d31a36932e02ffba02e6ff556a6c50c6c,2016-10-12,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.0,0.0,File: PermissionsTest.java Line: 111
yamcs-yamcs-186324159,https://github.com/yamcs/yamcs/compare/a368981fe7c7eb62099acbb7f89cdcb80ed38bba...69d9c14ffc0f15b74cd1db4b448eb0a303769432,2016-12-23,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.0,0.8,File: AlgorithmManagerTest.java Line: 6
Adobe-Consulting-Services-acs-aem-commons-369395858,https://github.com/Adobe-Consulting-Services/acs-aem-commons/compare/1b46851be48e28f6dad2285c1ce7acb5aea19701...9c41435a4728eac5b29041c48eea5b248a9c0f33,2018-04-21,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.0,1.0,File: Actions.java Line: 112
Adobe-Consulting-Services-acs-aem-commons-374231970,https://github.com/Adobe-Consulting-Services/acs-aem-commons/compare/106ccbb5c250277d582ecf296fa67cf0cca21060...a613fbc36f439eeaae9e3f0a387265191b318fb1,2018-05-03,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.2,1.0,File: Spreadsheet.java Line: 164
Adobe-Consulting-Services-acs-aem-commons-374231980,https://github.com/Adobe-Consulting-Services/acs-aem-commons/compare/468b22ee657650dea6724540514f92d80043a54c...931373481432c238706551f7727a8122cc251100,2018-05-03,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.2,1.0,File: BrokenLinksTest.java Line: 3
